well_number,well_position,cycle_number,POOL_T80K_1,POOL_T80K_2,POOL_T80K_3,POOL_T80K_4,POOL_T80K_5,POOL_T80K_6,POOL_T80K_7,POOL_T80K_8,POOL_T80K_9,POOL_T80K_10,POOL_WT_1,Non-targeting,Untransduced_WT,Untransduced_T80K
1,A1,1,307631.5,328555.03,325680.72,319352.72,326676.22,310049.22,327271.94,295614.12,301199.56,270404.8,317286.12,314223.5,330155.03,#N/A
2,A2,1,279167.72,295817.44,297683.7,285960.25,308002.4,283898.44,292292.94,263410.4,280000.4,263674.06,283092.28,281361.66,296761.3,#N/A
3,A3,1,264356.94,295552.8,275675.75,279634.47,277984.1,273543.53,275188.7,260000.62,260342.02,257783.02,274230.5,272721.6,280746.16,#N/A
4,A4,1,250691.86,265606.28,263221.44,265096,266404.34,265058.8,268091.56,249378.25,250744.28,247594.22,263464.88,265195.97,266492.88,#N/A
5,A5,1,234261.23,247604.33,248414.83,241083.9,243832.95,251789.03,249384.36,239346.58,232672.06,237524.14,251423.31,246939.02,248338.2,#N/A
6,A6,1,197284.45,212623.27,209332.86,199465.05,205401.66,202403.05,210916.06,194545.05,200220.02,191567.75,216881.47,210296.83,209105.23,#N/A
7,A7,1,217487.53,229937.3,222293.3,220513.12,229005.39,222596.44,229208.64,217144.11,218854.61,220655.39,227505.84,230397,229030.44,#N/A
8,A8,1,232731.31,238078.5,240156.62,230862.17,231146.78,228809.14,238865.78,228224.39,227275.16,232002.88,239168.66,237930.34,241366.47,#N/A
9,A9,1,230807.48,244066.58,238538.69,239033.9,232765.08,234161.55,239049.81,229833.64,231398.22,225678.67,234595.86,235917.98,238366.84,#N/A
10,A10,1,239816.72,259678.67,248857.81,249185.66,244912.3,250302.1,253548.64,242759.27,243138.6,246310.7,249822.8,250201.14,252200.86,#N/A
11,A11,1,226559.47,245012.05,227673.84,229548.95,232522.7,232567.03,233830.45,231000.02,228424.44,229193.53,236072.9,240976.2,231606.97,#N/A
12,A12,1,212884.31,227507.89,231025.62,217741.16,214668.45,228134.44,223162.53,208263.45,218019.03,219625.56,227292.14,246283.14,233737.17,#N/A
13,B1,1,300700.06,320048.22,318555.78,320575.03,320528.6,310465.28,320404.4,291268.8,304412.53,297105.66,315887.28,315802.88,320352.2,#N/A
14,B2,1,255225.19,286441.3,278059.3,271258.9,264848.22,275850.94,276686.4,251200.44,252549.81,243733.55,267909.8,272071.16,273763.03,#N/A
15,B3,1,241633.06,258177.17,256730.98,248464.38,247245.6,253357.12,248950.16,237816.28,241997.58,245027.17,249983.97,252741.92,255713.48,#N/A
16,B4,1,224743.1,238386.42,234912.38,230073.02,231828.08,234287.33,239361.67,227187.52,225085.05,233686.06,235580.67,236696.72,237157.69,#N/A
17,B5,1,215008.03,232358.44,227353.78,224395.02,225632.31,223899.47,228920.88,211981.53,218535.08,219858.61,225100.12,218770.08,227528.2,#N/A
18,B6,1,221964.08,228781.7,233517.23,225849.12,235272.84,221341.64,235939.47,215096.77,227022.98,222500.61,226447.7,227856.62,230822.73,#N/A
19,B7,1,209662.83,223836.3,224824.1,219091.6,222048.73,218823.66,215395.5,212575.92,217253.12,211613.5,219299.8,218708.8,227325.31,#N/A
20,B8,1,208163.84,219216.75,222076.52,218726.95,215392.4,225012.83,220330.64,211502.19,212819.12,216360.69,219999.34,220372.58,221063.6,#N/A
21,B9,1,206087.52,227440.05,217661.17,214815.67,211796.98,220209.27,223310.81,211043.02,209775.9,213071.36,216579.27,214751.03,216857.78,#N/A
22,B10,1,222198.39,237576.23,231229.25,225934.89,224453.81,226100.78,228575.58,218509.86,220593.7,216572.83,222026.92,226333.95,233742.27,#N/A
23,B11,1,228133.3,239890.88,235888.44,230542.88,229732.34,230787.44,241428.27,217441.42,221410.75,217380.16,227980.9,229109.23,239156.48,#N/A
24,B12,1,224647.25,234684.39,239361.05,228678.03,224018.72,236946.73,225999.4,217227.31,223562.52,230741.42,225206.6,237911.2,239140.02,#N/A
25,C1,1,302861.1,319680.16,312651.9,319821.1,325273.9,303652.75,321974.3,295873.62,292207.06,283971.97,309490.4,306062.2,317282.97,290177.22
26,C2,1,215832.97,277450.1,272616.84,275752.6,276812.94,272939.97,279045.1,257711.56,239401.62,258541.22,266126.9,263187.2,274741.66,247447.1
27,C3,1,233136.58,244185.36,242513.1,242841.23,238127.03,241511.27,243945.69,231037.7,234045.84,237844.12,240724.9,241194.66,250856.95,225643.17
28,C4,1,215911.73,237219.6,238519.08,228847.61,229787.89,233074.1,237672.6,224931.44,218432.22,233957.33,236748.33,231317.73,239723.86,211358.47
29,C5,1,223478.34,238289.73,238427.02,232382.27,231487.33,234051.17,238154.2,223466.67,224115.89,231827.75,235748.83,227485.84,241870.36,216704.53
30,C6,1,211612.47,231318.53,224491.48,217239.64,223715.08,224399.19,227980.36,216286.08,218472.83,220880.56,220036.48,218922.34,230079.16,#N/A
31,C7,1,218328.06,227700.78,234713.66,220876.11,214943.33,213734.6,219115.19,215227.81,215271.84,215074.3,215982.14,218028.62,220914.53,#N/A
32,C8,1,207276.64,224457.9,216589.31,214886.11,211011.75,215041.45,217877.2,211001.6,209410.77,213119.47,214342.3,220909.02,220370.27,#N/A
33,C9,1,192217.14,206835.8,203423.27,199056.12,198662.92,198018.33,203722.47,195802.48,192093.56,198002.52,195720.31,199615.05,200153.22,#N/A
34,C10,1,277792.12,297942.97,292206.3,283528.22,286051.25,283917.84,292593.5,274492.03,275485.16,273455.97,271707.3,281876.72,289472.6,#N/A
35,C11,1,218538,229699.31,226274.92,221372.6,215724.75,220859.95,223469.16,209812.28,212066.9,213013.77,212046.19,216984.28,227820.42,#N/A
36,C12,1,220838.86,225013.42,235024.22,221753.9,217693.45,229816.38,226830.3,207389.14,218811.47,217292.16,226859.14,222706.45,234553.03,#N/A
37,D1,1,307088.78,326341.3,320094.44,333794.3,333662,315115.72,329263.94,305322.94,298213.53,292353.62,312789.38,312746.3,326827.6,303152.38
38,D2,1,269136.34,285805.9,281117.4,275891.94,282978.34,274249.03,284677.34,260325.86,263600.9,261219.94,270769.8,270468.66,281739.28,254334.89
39,D3,1,235645.47,252467.38,247847.36,242466.53,245756.72,247172.84,248094.34,237752.12,238595.08,238958.94,244384.58,246304.52,250385.39,220383.73
40,D4,1,228438,249602.95,242606.84,240847.94,238637.14,240950.86,243364.12,224140.69,242627.22,236384.17,241606.84,240601.23,249529.95,217445.86
41,D5,1,217066.48,237575.03,234477.48,227890.89,229358.78,228136.1,234328.36,221713.66,225668.4,230449.02,228578.62,229732.98,234191.31,202775.4
42,D6,1,224473.78,245475.47,237012.62,228969.27,234045.03,238785.5,238114.66,226809.48,228886.97,233898.72,236257.67,232130.5,238671.58,#N/A
43,D7,1,216020.77,234162.73,226715.78,225861.3,224303.92,227651.47,227231.17,215740.53,216906.98,218818.83,228351.84,223154.89,222656.39,#N/A
44,D8,1,206055.31,224018.75,216605.1,212362.28,213215.89,219809.61,216841.11,210469.27,207437.77,209836.86,214662.44,215862.97,218163.62,#N/A
45,D9,1,193955.42,209763.9,205885.75,202545.62,201120.86,204949.86,204612.7,195949.22,196735.58,194005.4,200676.55,203745.03,206821.3,#N/A
46,D10,1,210873.22,220289.28,213641.98,211588.77,212146.19,210375.22,214597.78,206149.17,204864.02,202946.11,207448.28,211789.72,215187.6,#N/A
47,D11,1,214826.1,225838.12,220606.03,215652.56,211173.31,216692.78,213352.66,209253.92,209232.72,205138.48,206433.08,219315.25,223350.2,#N/A
48,D12,1,226394.22,234228.89,234983.27,220358.06,221436.39,224093.97,224282.17,218626.28,225594.56,225625.81,230821.33,229143.22,228993.02,#N/A
49,E1,1,312387.5,333258.2,325192.47,327736.88,331868.72,327472.7,340621.44,318571.3,306719.4,312028.06,326583.12,318003.12,337994.5,302447.7
50,E2,1,261594.95,282295.72,285933.9,273263.66,276698.1,277301,278636.47,257702.78,261147.78,262730.38,270435.53,273748.38,283081.06,256988.86
51,E3,1,231075.53,250911.25,246075.69,248847.44,239941.42,257651.42,244604.47,236764.17,235016.69,243739.16,248304.73,246075.72,247092.17,222858.86
52,E4,1,260879.17,281914.4,275173.5,275720.62,271683.2,275882,275165.5,261190.08,264737.7,270907.84,274005.7,271948.3,281699.84,237990.17
53,E5,1,279135.16,303124,298253.72,296242.03,293168.06,303909.94,294695.4,292451.6,286017.47,297382.56,298035.56,297136.28,301912.5,261452.31
54,E6,1,214000.69,228211.69,227887.64,220201.31,217917.34,224667.92,223662.73,214363.52,213567.89,212991.58,221003.52,219827.7,227603.19,#N/A
55,E7,1,216615.9,234464.78,230855.48,226709.58,223056.62,230119.66,229368.22,225606.25,219604.17,220557.66,227764.05,227025.52,231755.72,#N/A
56,E8,1,207237.83,225054.16,220503.03,217903.22,215000.06,219406.44,223527.42,209813.84,207734.58,209049.44,216354.61,216765.75,219116.3,#N/A
57,E9,1,198269.03,213643.55,205863.11,204128.53,200430.78,201225.44,204225.44,194531.69,198210.86,192257.38,197183.78,198898.92,202447.39,#N/A
58,E10,1,208455.72,227562.33,223936.11,221984.88,214633.92,214621.05,220281.67,208788.17,208698.31,204566.42,210746.39,215529.1,219048.45,#N/A
59,E11,1,214274.25,232683.06,223842.8,216413.61,216419.6,220574.88,218076.83,201978.05,216599.92,211016.64,215001.3,217713.16,223378.48,#N/A
60,E12,1,219706.12,229791,230777.48,216571.67,218236.42,225303.83,217597.92,216752.86,222423.75,221275,230151.58,226593.97,230614,#N/A
61,F1,1,313318.62,340308.03,326791.03,330697.7,337346.75,331063.06,345345.12,310295.94,304001.16,307245.66,325043.25,319064.9,336243.1,306660.12
62,F2,1,264008.94,289879.94,279309.9,276445.5,284453.8,277493.12,282953.38,261561.25,266856.1,272848.62,272754.97,272677.16,279241.97,259148.08
63,F3,1,239596.83,253198.86,252303.34,246382.55,241767.61,245761.02,248864.5,232107.98,238740.64,244967.58,248786.58,245648.28,257910.28,229071.95
64,F4,1,236211.03,257899.67,253504.47,244421.92,244099.25,249086.1,248892.7,236011.58,236987.23,248124.58,246152.95,242661.08,254520.84,228607.8
65,F5,1,198175.22,219571.98,214853.02,207487.16,208519.36,210508.86,212370.69,203867.8,207509.69,210784.72,209686.27,209503.23,216063.34,191924.7
66,F6,1,215411.19,236260.78,231091.48,226052.19,226234.55,224740.94,232436.7,220067.8,216387.05,223247.89,227158.77,228301.62,230677.05,#N/A
67,F7,1,208762.1,228751.28,222057.44,219953.44,217237.72,218091.53,222854.84,210275.75,211608.12,212925.67,214633.44,216752.11,223815.11,#N/A
68,F8,1,199568.4,223565.33,218968.64,213238.53,212914.61,211053.06,218257.08,204155.6,207749.55,204215.55,208229.03,209416.78,215295.22,#N/A
69,F9,1,196747.14,225389.25,217672.22,214469.44,215063,214361.34,217976.17,204387.95,208774.3,203552.8,206377.95,210234.72,216394.81,#N/A
70,F10,1,197011.27,222046.3,216864.61,202570.23,207680.19,200999.19,204799.83,195722.36,202213.45,172298.34,200480.58,203462.4,211119,#N/A
71,F11,1,190575.58,224360.88,220842.73,209548.22,207795.38,204871.48,208856.12,191170.84,196212.6,192586.45,208299.56,206104.28,213712,#N/A
72,F12,1,203079.9,225679.55,227067.7,209422.88,212075.05,211033.75,212295.11,200614.08,213440.38,210571.45,217711.4,216254.03,224464.8,#N/A
73,G1,1,293936.84,312602.78,292085.8,298493.88,309609.7,301725.22,321320.84,287403.62,291246.56,278692.38,299601.56,296031.53,311182.94,286717.1
74,G2,1,257770.47,280677.62,277214.3,271319.97,276843.53,269510.94,283382.5,260118.19,262580,256404.64,264268.75,268154.25,279649.34,260273.33
75,G3,1,242670.48,261581.89,260939,261647.97,255245.5,263162.78,255443.52,247796.73,246016.45,252381.42,265609.6,254820.05,261123.39,236965.19
76,G4,1,223607.75,243219.53,239171.17,240652.52,236475.02,245982.27,237076.86,230490.72,229379.17,233672.72,234080.94,231587.56,245041.7,221658.84
77,G5,1,204865.11,225276.78,219779.39,220996.81,219212.9,220159.64,221075.98,215482.28,212030.73,210468.58,222200.02,217339.03,221795.77,202092.66
78,G6,1,209231.25,228987.84,221670.33,218246.81,216255.92,213719.47,211948.34,210884.58,211436.84,211077.7,218480.83,218505.19,222752.44,#N/A
79,G7,1,194169.83,211732.86,204688.89,204434.52,199508.31,196054.08,204226.23,190940.95,197126.92,192861.69,202370.06,199235.61,210650.67,#N/A
80,G8,1,200215.44,223715.05,217305.19,211017.73,211004.94,205060.48,213908.16,205783.64,208507.4,208600.36,213432.14,214936.6,221438.8,#N/A
81,G9,1,201717.08,216244.22,208727.83,211154.05,209044.11,204538.61,214242.94,201016.88,204402.39,203676.6,209886.11,210421.8,213379.75,#N/A
82,G10,1,209619.48,223319.77,223034.2,221766.9,216785.06,209196.28,219332.67,206117.89,212187.9,206433.84,208385.34,214116.22,220465.06,#N/A
83,G11,1,204385.7,223134.61,217771.16,213909.45,217610.31,206383.89,215558.58,200987.98,204072.5,201358.9,205230.81,207841.67,213699.88,#N/A
84,G12,1,216613.39,236109.22,230027.31,217959.92,220190.14,224781.19,225557.06,213553.9,221797.9,211689.36,223518.48,224149.84,234603.8,#N/A
85,H1,1,288378.97,306781.53,302205.84,304800.53,309811.6,298069.78,306885.34,286228.5,284662.5,280438.47,297828.38,291120.7,306113.4,281811.84
86,H2,1,255572.69,269773.72,276035.94,264378.5,272654.8,266730.94,272786.34,253023.9,258199.53,249766.4,266021,262376.7,275487.2,244365.28
87,H3,1,246154.23,259961.06,257422.45,257328.5,254167.4,262381.06,259940.9,252247.83,247929.06,249328.5,256475.55,255541.14,260322.05,240764.38
88,H4,1,227214.05,243329.73,244954.38,236749.75,236927.92,252044.8,240565.61,232175.97,230217.08,236268.98,245458.06,242286.77,243548.33,222103.38
89,H5,1,211787.47,226761.66,223815.95,227300.36,222542.64,219252.27,228523.9,219370.55,218418.98,221055.02,223393,224348.81,230410.53,208373.47
90,H6,1,222718.22,236693.39,235355.38,227782.67,228944.9,229563.66,238387.27,220123.86,225727.44,224626.64,232055.64,226334.78,237105.17,#N/A
91,H7,1,204225.75,221066.16,216536.48,212867.61,210697.14,214071.88,214550.31,208026.23,211630.42,211067.84,215339.22,216716.02,219041.64,#N/A
92,H8,1,221446.95,243070.05,235604.27,233298.47,227764.19,231270.11,233260.31,220852.78,226955.95,221738.53,223538.6,228381.3,259649.03,#N/A
93,H9,1,299842,223567.92,218243.86,219175.73,212595.88,215740.08,218332.62,204264.38,212650.66,205811.62,212490.72,214883.08,212202.17,#N/A
94,H10,1,224910.17,236368.72,237193.08,232334.8,229727.94,227140.56,234136.11,218890.22,225621.16,220863.92,226467.89,229703.8,236407.38,#N/A
95,H11,1,216326.33,235089.2,223056.97,222159.44,228584.67,222034.48,227997.47,212296.89,220651.69,217378.42,228367.92,228627.3,223693.27,#N/A
96,H12,1,210482.5,230429.12,222517.88,215491.67,230229.64,221234.34,222035.31,218345,212554.38,211386.77,211721.48,224815.83,227271.16,#N/A
1,A1,2,316202.84,337206.56,336250.25,327069.56,333998.4,330173.53,338326.94,303701.94,303828,271637.75,332092.44,337886.16,352041.06,#N/A
2,A2,2,294638.47,315003.06,314446.6,308576.22,319723.03,292233,303727.38,278744.66,291160.4,270260.97,318763.53,311216.97,313550.4,#N/A
3,A3,2,289880.8,314498.8,294366.12,296241.94,294226.22,294444.56,297761.7,274281.7,276479.38,261069.56,320616,324197.1,303559.28,#N/A
4,A4,2,271143.5,284843.1,284925.5,286310.22,285648.47,282378.62,286031.25,267186.22,265915.7,256605.89,304634.94,312585.62,305261.6,#N/A
5,A5,2,254517.55,267776.16,268375.34,258192.1,265213.34,272029.7,271486.75,257803.17,252297.39,250737.5,280765.44,276364,281868.97,#N/A
6,A6,2,219846.81,233424.06,224001.02,222691.31,229725.8,227815.86,232396.89,213447.75,217150.44,205834.69,264770.8,249261.88,233798.1,#N/A
7,A7,2,235255.98,242591.78,237275,237163.25,242334.92,242333.86,248069.95,232871.6,228361.66,237647.84,262667.44,276666.3,262574.78,#N/A
8,A8,2,254476.5,258852.77,258836.78,252304.48,252441.52,252346.17,255535.72,249843.78,243735.33,248420.52,283537.28,263594.5,278265.1,#N/A
9,A9,2,252273.95,260812.28,254856.9,258587.16,249334.47,254411.17,252569.28,245936.02,245930.25,235648.1,278540.66,268602.9,257344.66,#N/A
10,A10,2,257941.5,278722.88,260874.81,267329.94,262802.44,265181.3,261950.48,254424.17,251627.23,251136.78,284148.84,260770.95,292547.44,#N/A
11,A11,2,238458.11,256888.27,240334,241024.39,243537.55,249157.81,243241.84,241253.9,235430.92,231124.11,249697.61,272661.22,251453,#N/A
12,A12,2,228805.4,240166.14,241212.8,227985.22,225130.98,240867.69,231066,214098.33,226193.47,225778.14,238299.89,255755.67,269805.1,#N/A
13,B1,2,305767.66,325335.88,322410.38,325463.06,328351.1,315361.88,323284.6,292493.28,303715.56,290204.47,324067.78,324274.25,339116.2,#N/A
14,B2,2,263330.12,292910.6,285309.3,279095.22,274133.25,282215.1,279679.56,252912.2,254201.19,238701.39,275732.53,293227.6,279631.16,#N/A
15,B3,2,254682.69,271561.4,266545.06,259772.75,261109.23,262928.22,258417.06,245063.5,246668.92,249066.9,275207.66,288729.44,278371.75,#N/A
16,B4,2,238713.47,256776.03,248696.86,246566.25,249280.67,249835.7,262909.47,237391.95,238117.72,244399.17,275289.7,250790.64,249814.38,#N/A
17,B5,2,225308.25,242226.94,245708.81,229998.72,239016.77,237520.11,236904.28,219630.94,232935.48,225271.34,254747.69,241798.06,242948.3,#N/A
18,B6,2,224614.83,234559.11,239510.55,235579.73,241124.53,225059.92,241466.75,220497.31,228633.31,220724,246881.98,337856.34,245442.6,#N/A
19,B7,2,217193.89,227812.67,228187.75,226308.66,227272.89,224227.05,202939.17,213001.38,218361,214513.69,234902.48,224480.77,259243.72,#N/A
20,B8,2,213078.89,235716.08,236382.88,235023.62,230638.44,238211.98,227010.06,217821.6,221073.03,217339.36,243024.77,251738.9,237879.2,#N/A
21,B9,2,216409.55,240774.61,228258.58,228268.05,222892.1,230724.56,228870.16,220255.92,215331.75,227340.5,236284.11,227811.58,256181.23,#N/A
22,B10,2,232340.88,245047.14,238765.86,235522.42,232476.61,236085.27,235695.62,222338.8,223197.94,218833.2,237864.81,245744.56,258546.28,#N/A
23,B11,2,234848.38,247243.89,248888.44,237497.72,237532.67,235937.39,245220.06,218646.89,225999.17,219880.8,237155.45,242647.89,262862.12,#N/A
24,B12,2,232909.22,241966.33,244808.47,233465.62,228913.64,244126.06,231019.73,217853.52,226566.61,231368.39,242254.06,262252.66,257204.66,#N/A
25,C1,2,308268.97,325861.56,317378,324706.28,331404.97,308291.78,326216.56,295882.16,294336.34,276704.7,316115.44,317576.66,332691.62,298939.56
26,C2,2,218677.72,283382,276436.4,281887.56,283925.53,278817.75,281373.84,256488.81,235691.62,262190.56,273310.62,275411.03,283444.56,252971.64
27,C3,2,239897.42,252543.53,248537.77,251611.61,248009.3,248111.9,248611.94,232206.8,239047.42,236053,263520.16,265185.25,286167.62,230098.75
28,C4,2,218953.97,242413.36,240670.44,234487.17,237998.42,256625.72,243659.45,230193.2,221340.33,231749.52,264076.88,257158.9,263312.8,215405.72
29,C5,2,229925.05,242388.67,241464.55,235656.62,236576.61,235795.92,239786.6,222480.98,230125.7,229549.97,253753.48,238149.61,248387.02,218544.12
30,C6,2,214190.03,234826.9,230006.88,219623.16,225559.94,227517.58,228264.27,215403.98,218238.45,223346,226506.36,221057.02,279158.78,#N/A
31,C7,2,220704.2,229596.02,237917.19,224426.67,218508.31,214223.64,223376.02,213765.47,217411.16,210046.67,239771.78,224922.44,241597.53,#N/A
32,C8,2,217591.88,234766.27,220364.77,219611.52,223278.45,220135.75,221625.66,209864.75,210256.88,216001.67,233291.98,241294.11,239670.81,#N/A
33,C9,2,201290.39,215845.17,211525.84,207535.36,207009.77,204560.16,210015.05,204097.25,197188.3,197894.02,211069.55,207147.19,228321.77,#N/A
34,C10,2,287454.4,309684.75,302058.3,298583.3,297581.12,294684.8,299732.78,295868.1,299034.5,263615.03,290172.2,308906.3,320244.22,#N/A
35,C11,2,225882.77,237971.36,230736.62,227495.27,225486.52,225795.05,228602.83,216577.28,217941.64,215444.03,224178.02,231981.56,256921.75,#N/A
36,C12,2,226341.83,229938.25,238852.38,228132.2,223527.92,235922.52,228662.73,212221.92,220302.34,218174.81,236780.58,239515.69,243769.16,#N/A
37,D1,2,314125.06,334053.3,328474.75,342277.62,340395.28,328940.56,331834.62,301778.5,300176.1,283329.25,326396.47,323954.03,338011.1,307004.94
38,D2,2,277448.72,291826.72,283997.53,282170.1,287878.22,279412.3,288736.7,259786.39,262464.56,258490.56,281427.25,288039.53,290997,257702.3
39,D3,2,244564.89,261578.9,254303.8,249171.77,251793.9,254174.7,253454.45,238124.52,241195.5,235969.62,276005.75,260995.31,272576.47,225165.84
40,D4,2,237209,256346.33,249861.12,247665.44,246334.78,268525.97,247825.81,225609.4,246217.6,231162.56,269310.06,278834.72,272556.38,223375.19
41,D5,2,223071.1,239299.22,236553.31,232099.84,243235.95,230987.44,236917.9,223494.28,227917.33,224308.83,249279.03,242953.89,258464.16,205433.08
42,D6,2,226361.28,246969.95,236053.69,228683.36,232042.45,238169.6,235396.62,226087.9,228664.33,226949.28,252049.2,243706.03,236892.8,#N/A
43,D7,2,219557.62,236623.6,227373.77,225885.39,222681.06,227506.75,228100.83,216386.1,216348.31,217593.5,266271.22,227524.17,238249.27,#N/A
44,D8,2,215105.12,227209.42,219476.42,214922.1,224751.31,221579.28,223629.92,210381.39,208567.58,210469.06,230419.06,227527.86,239318.64,#N/A
45,D9,2,201068.14,216878.88,213156.14,210178.92,208878.38,213576.25,210902.78,200879.89,200985.98,198955.36,215329.58,227276.17,262099.28,#N/A
46,D10,2,216759.23,230484.11,221068.33,219724.84,220449.25,219695.2,220605.9,211187.77,209022.84,211159.11,219153.53,234046.42,232637.4,#N/A
47,D11,2,224626.17,234254.92,227208.12,222002.95,218790.1,223925.92,218513.94,212799.97,214265.14,205903.36,214569.17,233533.66,257930.47,#N/A
48,D12,2,234560.5,242707.36,240982.03,227851.95,229674.94,228344.1,227607.25,221699.95,226039.8,227396.38,252961.61,250650.84,247368.92,#N/A
49,E1,2,318790.72,340213.44,333491.22,334479.34,339016.5,331483.66,345611.47,318766.16,307684.12,318484.53,350351.44,333111.8,354479.56,306149.16
50,E2,2,268984.25,294300,296285.25,279446.62,280695.9,293858.78,282800.72,259332.88,260531.05,256519.73,283171.22,297908.84,287368.38,261466.97
51,E3,2,237280.64,255736.22,250605.06,253847.62,244723.38,265212.88,249562.98,239231.81,235263.88,250837.03,272746.12,272555.12,260803.53,226228.67
52,E4,2,271089.44,288824.25,282489.84,285258.47,278923.94,282042.25,279378.94,263614.2,268829.28,265446.7,309165.56,292274.56,324968.38,243006.94
53,E5,2,283736.4,303242.16,308681.16,299931.88,299970,303033.75,298470.06,294903.94,292873.8,290974.97,298424.75,300613.4,331249.3,271040.75
54,E6,2,214290.94,229606.69,227014.5,220657.11,218515.14,226895.03,224587.17,214079.78,223921.88,209921.53,232681.19,233181.62,237227.39,#N/A
55,E7,2,218260.14,235348.33,231215.42,229230.25,224292.67,232041.61,228242.03,224792.86,221235.2,217667.9,231106.7,226716.08,245240.39,#N/A
56,E8,2,211946.86,226869.14,223031.92,221941.8,218844.23,222342.62,231002.78,211950.4,209587.27,207231.03,218297.67,247595.66,230343.45,#N/A
57,E9,2,222078.88,220972.02,213522.11,211472.56,208886.81,209207.78,211810.48,199380.9,203051.78,194612.6,223910.81,225681.1,217337.56,#N/A
58,E10,2,217057.47,234825.55,229506.97,229765.27,223321.61,225502.56,226343.03,212626.34,210694.75,208982.78,218853.81,238480.7,235273.47,#N/A
59,E11,2,223556.56,244938.55,233178,225060.03,224428.05,226617.02,222629.27,206637.66,219853.95,213013.39,221913.58,248779.08,248364.03,#N/A
60,E12,2,227208.08,236943.34,233665.69,227047.58,226165.56,234093.2,222581.67,219146.66,224303.05,218176.39,244785.48,244109.02,246520.73,#N/A
61,F1,2,320777.28,347957.25,335041.1,339124.75,344141.2,335828.12,349921.47,313467.28,306177.9,302720.03,340489.78,360854.72,355182.72,311607.12
62,F2,2,270307.44,294650.25,284819.53,282066.97,290822.94,281516.28,295440.2,264617.94,266144.47,269892.4,291255.66,286038.22,288054.38,263827.53
63,F3,2,245569.89,260299.61,260065.44,254066.36,246397.97,253509.16,258976.62,241005.4,239891.05,242859.92,255569.62,269600.66,277327.9,233877.05
64,F4,2,245305.1,264133.97,258654.45,252821,250214.22,253730.69,262680.34,243792.92,251958.17,249562.23,254331.95,279214.38,275381.75,235834.4
65,F5,2,209775.31,226050.58,222079.34,214816.62,214409.88,215025.5,216130.27,204343.7,213947.55,205289.06,229837.88,218888.73,239094.27,196977.08
66,F6,2,220539.42,238345.6,231616.88,227354.89,227324.23,226747.56,233438.38,222197.89,215788.89,217274.2,239828.1,251648.5,243319.62,#N/A
67,F7,2,212183.89,232703.34,225879.88,223614.9,219694.72,220371.38,225328.2,210942.88,217686.1,210728.8,332758.66,224222.55,249570.34,#N/A
68,F8,2,206904.86,232223.73,228046.45,224256.66,222798.33,212413.55,226022.02,205896.69,214925.52,202181.42,220302.81,219029.45,237596.9,#N/A
69,F9,2,207420.62,236083.33,242395.2,222962.66,224785.78,223172.52,225195.72,209913.06,214331.48,205733.97,220624.2,231000.33,232707.89,#N/A
70,F10,2,208875.64,232524.5,223229.05,211052.97,215572.3,207888.34,222360.17,199424.88,208551.06,192221.83,218630.66,226177.36,240193.16,#N/A
71,F11,2,190520.25,230022.94,226758.9,214401.25,215177.69,209126,211601.38,198376.75,200266.78,196241.77,239046.55,221094.17,223361.55,#N/A
72,F12,2,211760.9,231935.25,231063.83,214965.72,216561.66,217517.27,214160.95,205846.69,213331.8,211571.39,229187,237509.25,241261.75,#N/A
73,G1,2,299746.9,317659.62,300319.4,305389.6,319350.2,306830.12,327374.44,289965.06,292699.1,277618.9,312926.53,323117.4,319911.88,291498.12
74,G2,2,263991.03,286168.9,281830.62,279099.6,282782.66,275343.28,285109.75,260516.69,262081.02,255223.88,278643.22,286936.22,295527.78,263402.12
75,G3,2,248979.77,268247.5,267101.16,267951.03,266970.6,267133.66,259107.62,250121.14,246951.2,247731.12,282039.84,275271.6,312807.47,240990.6
76,G4,2,232333.94,248779.12,249617.72,250163.67,243024.42,253515.52,241922.89,235699.52,232320.66,234335.38,251269.97,245628.72,267990.34,225956.3
77,G5,2,220198.66,234889.95,228674.23,236899.94,227961.67,229093.89,227950.11,223177.03,222896.64,213922.92,241691.4,247139.16,242098.9,213499.38
78,G6,2,237100.81,234847.84,233203.97,232137.83,230485.42,225893.34,213373.64,213311.88,223529.95,213233.19,235426.03,248138.45,257616.52,#N/A
79,G7,2,200050.34,216942.31,209916.69,209093.3,204736,200339.72,217383.89,194533.64,202491.1,196627.8,206079.42,219297.36,226531.8,#N/A
80,G8,2,211520.6,238810.36,232323.8,223824.2,226310.08,216623.44,224434.55,214372.73,220150.23,214745.98,248660.16,235894.95,252570.92,#N/A
81,G9,2,214396.55,230479.97,218980.89,220184.22,219283.92,215720.38,222814.88,211160.5,213293.98,205077.05,226793.45,223415.38,239832.84,#N/A
82,G10,2,220204.8,233414.67,231625.45,231189.33,228408.86,218776.22,226214.1,211169.81,216526.05,205366.62,228662.22,235229.64,241252.86,#N/A
83,G11,2,214708.34,231322.11,225640.31,219911.4,224365.33,212249.77,220046.67,206891.72,207874.6,203753.55,228647.58,233886.98,237105.3,#N/A
84,G12,2,225051.64,241462.88,235075.67,223594.31,223349.88,229667.12,232145.28,216170.03,224065.22,216519.94,240477.95,237197.12,251154.38,#N/A
85,H1,2,299347.44,312373.78,312607.5,318320,324855.34,308817.1,314074,291277.84,300186.66,276871.47,312735.8,319163.97,331963.44,292523.16
