well_number,well_position,cycle_number,POOL_T80K_1,POOL_T80K_2,POOL_T80K_3,POOL_T80K_4,POOL_T80K_5,POOL_T80K_6,POOL_T80K_7,POOL_T80K_8,POOL_T80K_9,POOL_T80K_10,POOL_WT_1,Non-targeting,Untransduced_WT,Untransduced_T80K
68,F8,8,208400.75,236609.05,228805.66,223980.45,226101.47,210706.34,227824.4,207052.38,221490.58,210326.03,301110.84,263833.34,312690.88,#N/A
69,F9,8,209943.55,239338.75,387095.7,220349.92,227552.02,224494.78,223368.89,211902.05,216114.86,212134.77,256957.38,286331.9,273374.56,#N/A
70,F10,8,234044.34,236111.66,223551.66,210533.05,215778.8,210148.73,287816.06,199297,208684.61,201442.06,293655.25,305639.03,359867.47,#N/A
71,F11,8,192088.83,229772.69,225346.67,213050.3,219467.08,211095.83,214059.31,199562.89,202593.72,200016.25,353291.97,263479.22,238225.9,#N/A
72,F12,8,217345.95,233457.61,228277.88,212372.97,218557.03,219005.72,214500.94,205750.6,207685.39,214740.22,270333.97,351962.78,286209.6,#N/A
73,G1,8,304363.9,320676.28,301033.6,310356.47,325152.75,310280.8,335677.53,293395.8,293067.53,280480.44,364464.22,499183.84,367607.56,296334.88
74,G2,8,268582.9,285463.38,283255.7,279524.78,288593.56,281902.56,287324.62,261970.16,264208.6,260425.1,340644.66,412007.78,382907.28,263647.84
75,G3,8,253556.39,267950.53,269478.34,270422.12,304230.88,270762.75,264722.34,252086.92,248729.6,250977.77,365466,363117.34,669821.8,244332.9
76,G4,8,238339.78,252314.48,249517.78,253190.8,251175,254614.33,244479.81,238091.08,236574.97,245934.14,334390.7,303302.03,414517.72,230738.42
77,G5,8,227809.05,241155.92,231835.83,240727.11,236269.94,231112.77,234435.78,224983.55,229261.8,222274.08,289524.28,332429.28,368543.4,214819.42
78,G6,8,310205.5,242426.81,236682.58,233015.22,238124.92,230330.05,218693.3,213702.88,226850.14,218470.44,329199.8,354467.84,398139,#N/A
79,G7,8,206022.53,218545.4,212091.84,209239.47,208507.42,201645.33,224286.69,196242.2,207386.14,205955.33,206626.25,348095.2,333670.97,#N/A
80,G8,8,218519.94,240437.6,234123.14,229169.77,228859.7,220201.48,227314.2,216064.9,222698.19,220213.16,384321.22,289248.5,355387.94,#N/A
81,G9,8,218832.52,230948.56,219743.78,220725.81,224494.83,220017.83,223757.45,213121.58,212550.78,211704.83,269597,240869.2,336584.56,#N/A
82,G10,8,223189.7,234487.69,230892.67,230350.27,234340.84,221005.52,225802.2,212435.31,218826.05,208567.62,293681.78,289279.94,302131.1,#N/A
83,G11,8,216252.42,229518.95,225681.02,220960.4,226204.55,212993.22,221396.89,208932.38,205779.86,204971.38,359926.22,315194.22,396458.78,#N/A
84,G12,8,229539.17,240520.47,233996.48,222053.89,224880.98,230236.5,232191.48,213806.62,218541.34,219539.6,331863.06,304322.44,339626.47,#N/A
85,H1,8,308273.7,323706.84,325119.34,327052.97,333779.2,316220.47,326007,298643.3,305460.97,279500.22,359173.25,488982.22,364660.72,298869.1
86,H2,8,274604.47,290853.5,294247.2,285461.56,292213.8,280318.72,289781.7,262384.6,273171.94,258340.52,319212.22,402098.44,361797.38,259964.97
87,H3,8,272976.06,278302.2,276240.75,277543.56,276553.75,278784.66,277028.28,268037.72,266437.16,258330.11,319451.03,413057.16,421371.6,260513.5
88,H4,8,252708.75,263892.62,257942.4,255370.34,258628.31,273142.72,262391.25,253367.64,345919.5,252443.22,364939,364760.03,462521.38,241100.6
