,no crRNA,no crRNA,no crRNA,crRNA1,crRNA1,crRNA1,crRNA2,crRNA2,crRNA2,crRNA3,crRNA3,crRNA3,crRNA4,crRNA4,crRNA4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2993.496,3114.705,3630.183,6798.922,5723.063,6423.573,8836.115,11605.785,9358.416,4646.578,7145.154,8216.977,11063.423,13051.71,12156.25
10,4843.683,5668.334,7097.23,12620.026,10742.825,12556.585,16875.916,18318.078,18152.748,10093.253,13653.48,13774.613,22177.643,24751.47,22227.07
15,8448.083,8164.354,9855.23,19246.602,17482.637,18808.557,26280.4,29242.682,27752,16674.019,21099.34,20592.557,34307.773,36846.24,33842.39
20,11295.033,10779.666,12920.027,27904.796,26897.262,28721.58,36827.11,45218.546,39144.88,26006.303,31390.2,30000.477,47531.393,50631.28,46690.68
25,13685.496,13288.72,15749.233,37468.516,38918.121,39657.85,50382.56,58647.132,52072.7,35140.983,38736.81,39378.527,62028.883,66305.74,61008.775
30,15572.219,15710.705,18076.013,43978.676,48251.807,47822.04,61423.52,69682.687,62608.416,42100.683,45950.334,47487.877,79310.303,85668.37,79456.64
